algoritmo	kitdecaptura	preprocesado	muestra	gold_standard	Precision	Recall	Fscore	QueryTpCount	QueryFpCount	QueryTotalCount	TruthTpCount	TruthFnCount	TruthTotalCount
manta	IDT-V2	bowtie2-picard-gatk3	Réplica 3	general	0.21621621621621623	0.011712214166201896	0.022220752595727797	16	58	74	21	1772	1793
manta	IDT-V2	bowtie2-picard-gatk3	Réplica 3	pass	0.13513513513513514	0.04868913857677903	0.07158590308370044	10	64	74	13	254	267
manta	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.2191780821917808	0.011712214166201896	0.02223619337546739	16	57	73	21	1772	1793
manta	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.1506849315068493	0.052434456928838954	0.07779742359181611	11	62	73	14	253	267
manta	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.20175438596491227	0.01505856107083101	0.028025362727621454	23	91	114	27	1766	1793
manta	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.12280701754385964	0.0599250936329588	0.08054656598345919	14	100	114	16	251	267
manta	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.2523364485981308	0.018962632459564976	0.03527445291936445	27	80	107	34	1759	1793
manta	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.1308411214953271	0.06367041198501873	0.08565772899046248	14	93	107	17	250	267
manta	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.19653179190751446	0.024539877300613498	0.04363169714469041	34	139	173	44	1749	1793
manta	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.08670520231213873	0.06367041198501873	0.0734235531241002	15	158	173	17	250	267
manta	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.47058823529411764	0.020876826722338204	0.0399800099950025	24	27	51	40	1876	1916
manta	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.3333333333333333	0.09119496855345911	0.14320987654320988	17	34	51	29	289	318
manta	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.5625	0.014091858037578288	0.027494908350305502	18	14	32	27	1889	1916
manta	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.40625	0.05660377358490566	0.09936305732484077	13	19	32	18	300	318
manta	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.5588235294117647	0.014613778705636743	0.02848270692793661	19	15	34	28	1888	1916
manta	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.4117647058823529	0.059748427672955975	0.10435464888191448	14	20	34	19	299	318
manta	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.49019607843137253	0.021920668058455117	0.04196474961032733	25	26	51	42	1874	1916
manta	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.3333333333333333	0.09119496855345911	0.14320987654320988	17	34	51	29	289	318
manta	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.5217391304347826	0.022964509394572025	0.04399266788868522	36	33	69	44	1872	1916
manta	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.2898550724637681	0.06918238993710692	0.11170347804011171	20	49	69	22	296	318
manta	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.47619047619047616	0.03288100208768267	0.061514426597666365	40	44	84	63	1853	1916
manta	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.25	0.09748427672955975	0.1402714932126697	21	63	84	31	287	318
manta	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.391304347826087	0.005684302579798863	0.011205823197011782	9	14	23	13	2274	2287
manta	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.17391304347826086	0.01812688821752266	0.03283173734610123	4	19	23	6	325	331
manta	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.35	0.004809794490599038	0.009489186025016945	7	13	20	11	2276	2287
manta	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	pass	0.2	0.01812688821752266	0.0332409972299169	4	16	20	6	325	331
manta	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	general	0.3787878787878788	0.012680367293397464	0.02453925434514038	25	41	66	29	2258	2287
manta	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	pass	0.21212121212121213	0.045317220543806644	0.07467994310099572	14	52	66	15	316	331
